System.DateTime.Now,Time.time,ParticipantNumber,round_number,ie_condition,td_condition,com_condition,size_condition,experiment_num,x_position,y_position,pelletID,event
10/5/2022 11:38:42 AM,62.03499,8,1,3,2,2,2,2,6.5,-4.85,0,SPAWN
10/5/2022 11:38:44 AM,63.88284,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,63.97883,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,64.0351,8,1,3,2,2,2,2,6.5,3.77,1,SPAWN
10/5/2022 11:38:44 AM,64.10301,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,64.18304,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,64.31483,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,64.39883,8,1,3,2,2,2,2,6.5,-4.85,0,2_TAPPED
10/5/2022 11:38:44 AM,64.39883,8,1,3,2,2,2,2,6.5,-4.85,0,2_PICKUP
10/5/2022 11:38:47 AM,66.52736,8,1,3,2,2,2,2,0.9,-2.994586,0,2_DROP_MID
10/5/2022 11:38:48 AM,67.91474,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:48 AM,68.06303,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:48 AM,68.1468,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:48 AM,68.27885,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:48 AM,68.36302,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:49 AM,68.49477,8,1,3,2,2,2,2,6.5,3.77,1,2_TAPPED
10/5/2022 11:38:49 AM,68.49477,8,1,3,2,2,2,2,6.5,3.77,1,2_PICKUP
10/5/2022 11:38:50 AM,70.21176,8,1,3,2,2,2,2,0.9,-3.086306,1,2_DROP_MID
10/5/2022 11:38:53 AM,72.92806,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_1
10/5/2022 11:38:54 AM,73.86298,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_3
10/5/2022 11:38:54 AM,74.29474,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_2
10/5/2022 11:38:55 AM,74.79503,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_1
10/5/2022 11:38:55 AM,75.31094,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_3
10/5/2022 11:38:56 AM,75.81086,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_2
10/5/2022 11:38:56 AM,76.26696,8,1,3,2,2,2,2,0,-2.7,1,1_TAPPED_1
10/5/2022 11:38:56 AM,76.26696,8,1,3,2,2,2,2,0,-2.7,1,1_PICKUP_MID
10/5/2022 11:38:58 AM,77.71103,8,1,3,2,2,2,2,-7.54,-2.7,1,1_DROP_END
10/5/2022 11:39:00 AM,79.763,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_3
10/5/2022 11:39:00 AM,80.21105,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_2
10/5/2022 11:39:01 AM,80.96292,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_1
10/5/2022 11:39:01 AM,81.47908,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_3
10/5/2022 11:39:02 AM,82.02718,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_2
10/5/2022 11:39:03 AM,82.57967,8,1,3,2,2,2,2,0,-3.77,0,1_TAPPED_1
10/5/2022 11:39:03 AM,82.57967,8,1,3,2,2,2,2,0,-3.77,0,1_PICKUP_MID
10/5/2022 11:39:04 AM,84.31104,8,1,3,2,2,2,2,-7.54,-3.77,0,1_DROP_END
System.DateTime.Now,Time.time,ParticipantNumber,round_number,ie_condition,td_condition,com_condition,size_condition,experiment_num,x_position,y_position,pelletID,event
10/5/2022 11:50:27 AM,20.4833,8,1,3,2,2,2,2,6.5,-1.62,0,SPAWN
10/5/2022 11:50:28 AM,22.21551,8,1,3,2,2,2,2,6.5,-1.62,0,2_TAPPED
10/5/2022 11:50:29 AM,22.46334,8,1,3,2,2,2,2,6.5,-1.62,0,2_TAPPED
10/5/2022 11:50:29 AM,22.63127,8,1,3,2,2,2,2,6.5,-1.62,0,2_TAPPED
10/5/2022 11:50:29 AM,22.76336,8,1,3,2,2,2,2,6.5,-1.62,0,2_TAPPED
